,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
235,5/17/2013,0.9,1644,1660,1643,1657.25,,1657.25,16575,148817,0.176545455,-0.004604566,0.145271797,0.196447354,0.538166506,-0.247622911,0,2.49,1366,3.32,0.002430454,0.166545455,1.888972107,,,,,,,,,,
236,5/20/2013,0.11,1656.25,1665.5,1654.25,1659,,1659,24568,162677,0.174,-0.003003956,0.140836754,0.197000613,0.534837981,-0.253164472,0,-0.33,1385.4,3.356,0.002422405,0.178181818,1.88380534,,,,,,,,,,
237,5/21/2013,0.06,1658,1667.25,1654.5,1660,,1660,9399,172040,0.161272727,-0.001389758,0.136289628,0.197350753,0.530991135,-0.258411879,0,-0.06,1378.8,3.338,0.002420946,0.176727273,1.883960618,,,,,,,,,,
238,5/22/2013,-0.6,1660.5,1680.25,1641.25,1650,,1650,37324,176292,0.138181818,-0.019257965,0.131314661,0.197767504,0.526849668,-0.264220346,0,1.94,1368.4,3.377,0.002467846,0.208181818,1.898909132,,,,,,,,,,
239,5/23/2013,-0.35,1652,1653,1627.25,1644.25,,1644.25,20540,189951,0.129090909,0.008063494,0.126957695,0.197795687,0.52254907,-0.26863368,0,-4.02,1392.8,3.299,0.00236861,0.146545455,1.97990948,,,,,,,,,,
240,5/24/2013,0.05,1645.75,1649.5,1629,1645,,1645,21016,199686,0.125818182,0.007249506,0.122517235,0.197689913,0.517897061,-0.272862591,0,0.14,1387.5,3.291,0.002371892,0.135272727,1.978116252,,,,,,,,,,
241,5/28/2013,0.24,1645.75,1666.75,1638.75,1649,,1649,14947,209397,0.122181818,0.011059041,0.117821922,0.197205249,0.51223242,-0.276588576,0,1.16,1379.7,3.3105,0.002399435,0.163818182,1.98142718,,,,,,,,,,
242,5/29/2013,-0.47,1649.25,1651,1632.25,1641.25,,1641.25,31585,213231,0.106545455,0.022704628,0.113663449,0.196746816,0.50715708,-0.279830183,0,-1.42,1391.8,3.292,0.002365282,0.135272727,1.992905802,,,,,,,,,,
243,5/30/2013,0.4,1640.75,1655,1635.75,1647.75,,1647.75,10459,230393,0.118181818,0.019809559,0.109929661,0.196540037,0.503009735,-0.283150414,0,-0.73,1412,3.3155,0.002348088,0.118545455,1.996296031,,,,,,,,,,
244,5/31/2013,-1.49,1647.25,1652,1620.5,1623.25,,1623.25,24052,230468,0.087272727,0.009631262,0.105752542,0.196179049,0.49811064,-0.286605557,0,0.66,1393,3.2925,0.002363604,0.142,1.994916131,,,,,,,,,,
245,6/3/2013,0.45,1623.25,1632.75,1615.25,1630.5,,1630.5,44752,237920,0.088363636,0.007852837,0.101489858,0.195703644,0.492897146,-0.289917431,0,-0.2,1411.9,3.3305,0.002358878,0.134545455,1.995423299,,,,,,,,,,
246,6/4/2013,-0.31,1629.75,1639.75,1616,1625.5,,1625.5,43128,251994,0.085636364,-0.004353819,0.097245652,0.195416414,0.48807848,-0.293587175,0,2.22,1397.2,3.369,0.002411251,0.185272727,2.012570546,,,,,,,,,,
247,6/5/2013,-1.45,1623.25,1626,1599.5,1602,,1602,51861,270185,0.074727273,-0.040655614,0.090867215,0.194058807,0.478984829,-0.297250398,0,-0.02,1398.5,3.3715,0.002410797,0.246,1.953127217,,,,,,,,,,
248,6/6/2013,0.92,1603,1618,1591,1616.75,,1616.75,63878,288905,0.096545455,-0.075026269,0.083733587,0.192787338,0.469308264,-0.30184109,0,-2.76,1415.8,3.319,0.002344258,0.215272727,1.987210826,,,,,,,,,,
249,6/7/2013,0.99,1616.25,1638,1612.25,1632.75,,1632.75,64476,315940,0.106181818,-0.07339559,0.075892662,0.190184179,0.456261019,-0.304475696,0,0.81,1383,3.2685,0.002363341,0.203818182,1.98182902,,,,,,,,,,
250,6/10/2013,0.21,1630.75,1642.5,1628.5,1636.25,,1636.25,140098,347713,0.121818182,-0.083724317,0.067600032,0.18693322,0.441466473,-0.306266408,0,-1.06,1386,3.241,0.002338384,0.197636364,1.98529125,,,,,,,,,,
251,6/11/2013,-0.92,1636,1636.5,1615.75,1621.25,,1621.25,201092,439456,0.09,-0.082051529,0.060042909,0.18436484,0.428772589,-0.308686771,0,-0.77,1377,3.195,0.002320261,0.158363636,1.982629907,,,,,,,,,,
