,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
300,11/20/1998,1177,10.97,4.6,6.37,0.007705479,0.001572327,-0.391361382,0.044859058,-0.55549114,3.658787453,,3.658787453,
301,11/23/1998,1204.5,10.94,4.6,6.34,0.023364486,-0.004709576,-0.404176368,0.049204746,-0.552422633,3.012844852,,3.012844852,
302,11/24/1998,1199.75,10.9,4.63,6.27,-0.003943545,-0.011041009,-0.394547429,0.05359442,-0.549412967,2.889583236,,2.889583236,
303,11/25/1998,1199.25,10.84,4.63,6.21,-0.000416753,-0.009569378,-0.389931125,0.057727691,-0.546356843,2.709717218,,2.709717218,
304,11/27/1998,1206.5,10.83,4.6,6.23,0.006045445,0.003220612,-0.406450481,0.060732412,-0.543824699,2.261958869,,0,
305,11/30/1998,1172.75,10.49,4.51,5.98,-0.027973477,-0.040128411,-0.299164729,0.069109193,-0.53932064,3.475021182,,3.475021182,
306,12/1/1998,1187.5,10.47,4.43,6.04,0.012577276,0.010033445,-0.199829175,0.082734073,-0.532565415,4.02175583,,4.02175583,
307,12/2/1998,1185,10.5,4.31,6.19,-0.002105263,0.024834437,-0.204278435,0.093652568,-0.525928029,3.434498381,,3.434498381,
308,12/3/1998,1164.5,10.52,4.31,6.21,-0.017299578,0.003231018,-0.208607951,0.102667871,-0.519223369,3.025439358,,3.025439358,
309,12/4/1998,1190.5,10.52,4.38,6.14,0.022327179,-0.011272142,-0.217141293,0.110101839,-0.51265977,2.684046685,,2.684046685,
310,12/7/1998,1201.25,10.53,4.47,6.06,0.009029819,-0.013029316,-0.221174119,0.11647343,-0.506119597,2.446441887,,0,
311,12/8/1998,1195,10.53,4.4,6.13,-0.005202914,0.011551155,-0.206987255,0.122830944,-0.499414257,2.380727469,,0,
312,12/9/1998,1197.25,10.56,4.37,6.19,0.001882845,0.009787928,-0.208436744,0.128463258,-0.49274046,2.213113071,,0,
313,12/10/1998,1177.75,10.58,4.33,6.25,-0.016287325,0.009693053,-0.219127911,0.133034923,-0.486147875,2.007141867,,0,
314,12/11/1998,1175.5,10.62,4.39,6.23,-0.001910422,-0.0032,-0.217695632,0.137205619,-0.479559723,1.908552236,,0,
